zincid,smiles,consensus_score
ZINC000189198365,Cn1ccc2ccc(NC(=O)C(=O)NCc3ccc(Cl)cc3F)cc21,0.5754932419514692
ZINC000486529567,CNS(=O)(=O)c1cc(NC(=O)NC2[C@H](C)CCC[C@H]2C)ccc1F,0.5527095986345504
ZINC000662082072,CC1(C)OCC[C@@H]1CNC(=O)N1CCc2ccc(Br)cc2C1,0.557228070428506
ZINC000417665166,O=C(O)C[C@@H](CCNCc1cc(Cl)sc1Cl)C(F)(F)F,0.3459632840484017
ZINC000887983958,N#Cc1csc(CNC(=O)C2(c3ccc(Br)cc3)CCC2)n1,0.5109078800445465
ZINC000121938893,O=C(CSCc1cscn1)N1CCC[C@H](c2nncn2C2CC2)C1,0.4877595354404501
ZINC000127707131,CC(C)c1cc(C(=O)N(C)c2ccc(Cl)cn2)nn1-c1ccccc1,0.5698431082909616
ZINC000046777448,O=C(Nc1cccc(Cl)c1-n1cccn1)c1ccc(F)cc1Cl,0.5070848860211346
ZINC000429533811,CCOC(=O)CCCNC(=O)Nc1ccnn1Cc1cccc(Cl)c1Cl,0.4858121302950887
ZINC000826026658,C[C@@H](C(=O)Nc1nc(-c2ccc(F)cc2)cs1)N1CCC[C@H](C(=O)O)C1,0.5157297682007435
ZINC000286642792,O=C(c1sccc1Cl)N1CCOC[C@H]1C[C@H](O)c1ccccc1,0.5322661715174382
ZINC000377646121,CCN1CCOC[C@H]1c1nc([C@@](C)(CC)NC(=O)c2ccccc2)no1,0.589682586133842
ZINC000934554644,O=C(NC[C@H](O)c1ccccc1F)NC1(C(F)(F)F)CCC(F)(F)CC1,0.44493508392359
ZINC000656228792,FC(F)(F)[C@@H](C[C@H]1CCCO1)Nc1nccc(Oc2ccccc2)n1,0.5842809526776249
ZINC000184462860,Cc1oc2ccccc2c1CNC(=O)N[C@H](C)c1ccc2c(c1)NC(=O)CO2,0.5945772787306399
ZINC001333204573,O=C(CCNc1ncc(C(F)(F)F)cc1Cl)OCCO[C@@H]1CC1(F)F,0.5099918080558271
ZINC000593822944,COC(=O)[C@H](CNC(=O)c1ccn(-c2ccc(Cl)cc2)n1)CC1CC1,0.5432833313047705
ZINC000435803400,O=[N+]([O-])c1ccc(OCc2nncn2-c2ccccc2)c(Br)c1,0.5507563583239014
ZINC000540013115,O=C(Nc1ccc(OCC(F)F)cc1)N[C@H]1CCO[C@@]2(CCOC2)C1,0.4849311137088573
ZINC001116765432,N#CCCn1ncc(C(=O)NCc2ccc(Br)o2)c1-c1ccccc1,0.574454342614312
ZINC000529422970,Cn1cc([C@@H]2C[C@H](NC(=O)c3cc(O)cc(Br)c3)CCO2)cn1,0.5522160316595448
ZINC000728644838,Cc1ccc(-c2noc(COC(=O)c3cc4c(s3)CCOC4)n2)cc1,0.5299811242531295
ZINC000016706130,COc1ccc(NC(=O)c2cccc(OCc3csc(C)n3)c2)cc1OC,0.5495173968082611
ZINC000555319380,O=C(Cc1ccc(Br)cc1O)Nc1c[nH]nc1-c1ccccc1F,0.5792796194876142
ZINC000758002001,O=C(Nc1cc2c(cc1Cl)OCCO2)c1cccc(C2OCCO2)c1,0.6396267791385523
ZINC000523272128,CN(C(=O)c1occc1COc1cccc(C#N)c1)c1ccc(F)cc1,0.5970930476748011
ZINC000543624197,Cc1cc(Br)ccc1NC(=O)CCNCc1ccc(C(N)=O)cc1,0.4849536282966527
ZINC000649993552,O=C(Nc1ccc(-n2cccn2)c(F)c1)N1CCC2(CC1)C(F)(F)C2(F)F,0.5038975338770806
ZINC000281168384,Cn1ncc2c1C[C@@H](C(=O)Nc1ccccc1C(=O)NC(C)(C)C)CC2,0.5589390498035808
ZINC000540761502,Cc1cc(C(=O)NCc2cnn(CC(F)(F)F)c2)nn1-c1cccc(Cl)c1,0.4590383888872099
ZINC000453657945,CCO[C@H]1C[C@@H](NC(=O)C(=O)Nc2cc(Br)cnc2C)C12CCC2,0.5343237597403022
ZINC000120199536,Cc1nnc(COC(=O)CCCOc2cccc(Cl)c2Cl)n1C,0.4769723550980833
ZINC000296186744,O=S(=O)(N[C@H]1CCO[C@H](c2cccnc2)C1)c1cc(F)ccc1F,0.5042407792767849
ZINC000272636313,C[C@@H]1C[C@H](NC(=O)C(=O)Nc2ccc(Cl)c(OC(F)F)c2)CCO1,0.5258387965159925
ZINC000195316462,C[C@]12CC3CC(C(=O)Nc4ccn(Cc5ccncc5)n4)(C1)C[C@@](C)(C3)C2,0.6373456106557387
ZINC000540113037,C[C@@H](CO)CCCNC(=O)Nc1c(-c2ccc(Cl)cc2)c(C(F)(F)F)nn1C,0.5396813844508698
