zincid,smiles,consensus_score
ZINC000458657221,CC1=CCN(CCNC(=O)N[C@@H](C(C)C)[C@@H](CO)C(C)C)CC1,0.6662665583441112
ZINC000135714283,CCC[C@@H](C(=O)N[C@H](C)CN1CCCCC1)C(C)C,0.6341676478716975
ZINC000343834690,CO[C@@H](c1ccccc1F)[C@H](C)NC(=O)NC(CO)CO,0.5191483816088456
ZINC000649331543,C[C@@H](c1ccccc1)[C@H](CO)NC(=O)c1ccnc(OC(F)F)c1,0.7110204134114746
ZINC000615234039,CC(C)(C)C(C)(C)CNC(=O)[C@@]12C[C@@H]1COC2(C)C,0.4401322864025389
ZINC000647992604,NCCOCCN1CCC([C@@H]2OCCC[C@H]2N)CC1,0.5760531401353787
ZINC000261834041,O=C(CC[C@H]1CCNC1)N[C@@H]1CCSc2c(F)cccc21,0.6072670326680483
ZINC000638748850,O=C(NCc1cn([C@@H]2CCNC2)nn1)[C@@H]1C[C@H]2CCCC[C@@H]2N1,0.7457015978974311
ZINC000338899484,CCN(CC(C)C)C[C@H](O)Cc1ccc(F)cc1,0.4953573063808886
ZINC000558081119,c1ccc(N2CCCN(C[C@@H]3Cc4ccccc43)CC2)cc1,0.7604121452922543
ZINC000551295306,COc1ccc([C@@H](OC)[C@H](C)NC(=O)[C@@H]2CC=CC[C@H]2C)cc1,0.5970754094933352
ZINC000284102858,COc1cccc(CNC(=O)C(=O)N2CCC[C@@H]3CN(C)CC[C@H]32)c1,0.7442217720551123
ZINC000639906330,Cc1nn(C)c(C)c1NC(=O)N1CC[C@@H]1C(F)(F)F,0.4585746021850256
ZINC000375058867,CC(C)C[C@@H]1C[C@H](N[C@@H]2[C@@H]3CCO[C@@H]3C23CCCC3)CCO1,0.6497993514173428
ZINC000277340889,C[C@@H]1CCN2C(=O)N(Cc3ccc(CN4CCCC4)cc3)C(=O)[C@H]2C1,0.7506959764442588
ZINC000444075405,C[C@H](CN=c1cc[nH]c2ccncc21)c1ccc(F)cc1F,0.8362999068899011
ZINC000599421938,COC(=O)c1cnc(CN2CCCN3c4ccccc4C[C@H]3C2)cn1,0.6366473079328603
ZINC000161144373,CCc1ncc(NC(=O)N(CCc2ccccc2)[C@@H]2CCOC2)cn1,0.6636201052391255
ZINC000470298782,CC(C)[C@@H]1CCC[C@H](NC(=O)NC[C@](C)(O)C2CC2)CC1,0.5817482208795847
ZINC000510615172,CCOC(=O)[C@H]1CCCN1S(=O)(=O)NC(CC)(CC)C(=O)OC,0.4182087544452237
ZINC000338428091,CC(=O)NCCN(C(=O)N1CC[C@H](C)C1)C1CCSCC1,0.5106498982060396
ZINC000268738927,COc1ccc(-c2cc(C(=O)NCc3nnc4n3CCC4)[nH]n2)cc1,0.7912290166136549
ZINC000596878541,CCOC(=O)C1CCC(NC(=O)[C@@H](OC)C2CCC2)CC1,0.5586746142307306
ZINC000131561327,CCC[C@@H](C)C(=O)Nc1ccc(NC(C)=O)cc1OC,0.7101004944742337
ZINC000343987754,CCc1onc(C)c1C(=O)N[C@H]1CCN([C@H](C(=O)O)C(C)C)C1=O,0.6362762990321144
ZINC000470210904,CCCCOCC(=O)N1C[C@H](c2ccccc2)c2ccccc21,0.5253823201883865
ZINC000337719997,CC(C)c1cc(C(=O)N[C@@H]2CCC[C@H]2CNS(C)(=O)=O)n[nH]1,0.5370721324523012
ZINC000681212392,Cc1[nH]ccc(=NC(=O)NC2(CO)CCC2)c1Cl,0.7245859030171298
ZINC000160903316,COC(C)(C)C[C@@H](C)NC(=O)CSc1nnc(-c2ccc(C)cc2)[nH]1,0.746490841333989
ZINC000434810453,O=C(Nc1nc(C2CCC2)cs1)C(=O)N[C@@H]1CCOC2(CCC2)C1,0.7037639547731643
ZINC000444665808,C[C@@H]1CCCC[C@@H]1N(C)CC(=O)NC[C@@H](c1ccccc1)N(C)C,0.6231977063560439
ZINC000658295881,COc1ccc([C@H](C)NC2CCN([C@H]3CCOC3)CC2)c(C)c1,0.7560572253063518
ZINC000638314245,CC(C)CC[C@@H](N)C(=O)N1CCN(S(C)(=O)=O)[C@@H](C)C1,0.4818259900619137
ZINC000627621506,CCN(C(=O)CNC(=O)c1ccc(C)c(C)c1)C1CCN(C)CC1,0.68129750562078
